id,CASEHDRDATA_APPSIGNDATEdiff,CASEHDRDATA_DATEISSUEDdiff,CASEHDRDATA_DATERECEIVEDdiff,CASEHDRDATA_EAPPDATARECEIVEDdiff,CASEHDRDATA_RATELOCKEFFECTIVEDATEdiff,CASEHDRDATA_TIMESTAMPdiff,FINANCIALGOALSDATA_TIMESTAMPdiff,issueDatediff,policyAge,policyValue,policyWithdrawals,receivedDatediff,shortId,class,siu.predictedDisposition,siu.score,siu.uc2e,siu.uc7e,siu.uc8e,surrenderCharges,modelType_Anniversary,modelType_Calendar Year End,modelType_Cost Basis Adjustment,modelType_Death Claim,modelType_Death Claim - 10YD,modelType_Death Claim - 5YD,modelType_Death Claim Disbursement,modelType_Free Look Cancel,modelType_Full Surrender,modelType_Partial Surrender,modelType_Pending Death Claim,modelType_Premium,modelType_Renewal Transaction,modelType_Spousal Continuation,modelType_Systematic Withdrawal,productType_RSL - Apollo,productType_RSL - Apollo 93 BV,productType_RSL - Apollo 93 MVA,productType_RSL - Argus MVA,productType_RSL - Deferral,productType_RSL - Elektra 5 6 7,productType_RSL - Eleos,productType_RSL - Eleos 96 MVA,productType_RSL - Keystone,productType_RSL - Reliance Guarantee,ownerType_Organization,ownerType_Person,template_NON-FINANCIAL,template_financial-transaction,template_non-financial-transaction,no_employees
1496162d-21db-4ab6-9045-af6355c7c3bc,-43233,-43233,-43233,-43233,-43233,-43233,-43233,-43233,66.0,24119.89,1500.0,-43233,2513544,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
14e9ef31-436b-4688-8ab9-cf2c8738c53c,-44341,-44341,-44341,-44341,-44341,-44341,-44341,-44341,82.0,100202.31,48.86,-44341,2525493,consistent,1,0.3333333333333333,0.5,0.5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
14f117a0-c3d9-48c4-b775-68888477744e,-43449,-43449,-43449,-43449,-43449,-43449,-43449,-43449,60.0,0.0,0.0,-43449,2421705,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
15033739-157f-4aba-a8e4-4acb42b4b237,-44300,-44300,-44300,-44300,-44300,-44300,-44300,-44300,80.0,30996.85,0.0,-44300,2490182,consistent,1,0.3333333333333333,0.5,0.5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
150c65e3-63fc-4715-8d6e-d242a9be23ee,-43617,-43617,-43617,-43617,-43617,-43617,-43617,-43617,68.0,0.0,0.0,-43617,2237415,consistent,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
1595c943-ce67-4884-afdd-e4811652e9a5,-43563,-43563,-43563,-43563,-43563,-43563,-43563,-43563,71.0,119951.92,0.0,-43563,2588364,consistent,1,0.3333333333333333,0.5,0.5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
16d21276-4a30-43e7-ba55-96697eb30e39,-43709,-43709,-43709,-43709,-43709,-43709,-43709,-43709,55.0,81630.88,9070.1,-43709,2601921,inconsistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
1741e834-7e98-4a82-b5b4-a63f470fa6e4,-44151,-44151,-44151,-44151,-44151,-44151,-44151,-44151,67.0,22383.53,0.0,-44151,2240958,consistent,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
1790e03b-4234-4ed9-86db-18396c2f011a,-43219,-43219,-43219,-43219,-43219,-43219,-43219,-43219,65.0,21212.94,1500.0,-43219,2546927,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
18a64026-9fd2-473a-8f92-7cc2e27ec7fa,-42807,-42807,-42807,-42807,-42807,-42807,-42807,-42807,84.0,54013.13,0.0,-42807,2532374,consistent,1,0.5,1.0,0.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2
