,id,type,referenceDocumentId,agentIds,employeeIds,batchId,applicationSignedState,shortId,policyId,status,receivedDate,signDate,modelType,productType,ownerType,moneySourceType,paperworkReceivedDate,electronicReceivedDate,issueDate,policyValue,policyAge,policyWithdrawals,surrenderCharges,suitabilityScore,role,siu,siu.uc2e,siu.uc7e,siu.uc8e,siu.eligibleHypothesis,siu.score,siu.predictedDisposition,template
76,ATMIE21152,application,application-ATMIE21152,['BDB0002758'],['WebServices'],226,CT,ATMIE21152,,Submitted,2021-10-22T00:00:00.0000000,2021-10-22T00:00:00.0000000,E-App,RSL - Eleos,Person,,1900-01-01T00:00:00.0000000,2021-10-22T00:00:00.0000000,2021-10-22T00:00:00.0000000,,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
77,ATMIE21153,application,application-ATMIE21153,['BDB9913185'],['WebServices'],226,MA,ATMIE21153,,Submitted,2021-10-26T00:00:00.0000000,2021-10-26T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,1900-01-01T00:00:00.0000000,2021-10-26T00:00:00.0000000,2021-10-29T00:00:00.0000000,1000000.0,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
78,ATMIE21154,application,application-ATMIE21154,['BDB0015157'],['WebServices'],226,VA,ATMIE21154,,Submitted,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-10-28T00:00:00.0000000,2021-10-29T00:00:00.0000000,62150.0,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
79,ATMIE21155,application,application-ATMIE21155,['BDB0015157'],['WebServices'],226,VA,ATMIE21155,,Submitted,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-10-28T00:00:00.0000000,2021-10-29T00:00:00.0000000,50000.0,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
80,ATMIE21156,application,application-ATMIE21156,['BDB0015999'],['WebServices'],226,CA,ATMIE21156,,Submitted,2021-10-27T00:00:00.0000000,2021-10-27T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-10-27T00:00:00.0000000,2021-10-29T00:00:00.0000000,120842.94,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
81,ATMIE21157,application,application-ATMIE21157,"['BDB9905539', 'BDB0012611']",['WebServices'],226,NJ,ATMIE21157,,Submitted,2021-10-14T00:00:00.0000000,2021-10-14T00:00:00.0000000,E-App,RSL - Eleos,Person,,,2021-10-14T00:00:00.0000000,,,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
82,ATMIE21158,application,application-ATMIE21158,"['BDB9905539', 'BDB0012611']",['WebServices'],226,NJ,ATMIE21158,,Submitted,2021-10-05T00:00:00.0000000,2021-10-05T00:00:00.0000000,E-App,RSL - Eleos,Person,,1900-01-01T00:00:00.0000000,2021-10-05T00:00:00.0000000,,,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
83,ATMIE21159,application,application-ATMIE21159,['BDB0016785'],['WebServices'],226,AL,ATMIE21159,,Submitted,2021-10-27T00:00:00.0000000,2021-10-27T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-10-27T00:00:00.0000000,2021-10-29T00:00:00.0000000,12000.0,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
84,ATMIE21160,application,application-ATMIE21160,['BDB9902617'],['WebServices'],226,GA,ATMIE21160,,Submitted,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,E-App,RSL - Eleos,Person,,,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
85,ATMIE21161,application,application-ATMIE21161,['BDB0005026'],['WebServices'],226,FL,ATMIE21161,,Submitted,2021-10-29T00:00:00.0000000,2021-10-29T00:00:00.0000000,E-App,RSL - Eleos,Person,,,2021-10-29T00:00:00.0000000,,,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
