,id,type,referenceDocumentId,agentIds,employeeIds,batchId,applicationSignedState,shortId,policyId,status,receivedDate,signDate,modelType,productType,ownerType,moneySourceType,paperworkReceivedDate,electronicReceivedDate,issueDate,policyValue,policyAge,policyWithdrawals,surrenderCharges,suitabilityScore,role,siu,siu.uc2e,siu.uc7e,siu.uc8e,siu.eligibleHypothesis,siu.score,siu.predictedDisposition,template
565,879a537c-8ff7-4978-adbf-ab1ec8db981c,transaction,transaction-879a537c-8ff7-4978-adbf-ab1ec8db981c,,"['WebServices', '470qda']",226,,2653398,AAMI500912,Pending,1900-01-01T00:00:00.0000000,,Full Surrender,RSL - Apollo,,,,,2014-09-22T00:00:00.0000000,0.0,55.0,13269.2,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.5,0.0,3/3,0.5,inconsistent,financial-transaction
566,87f33463-6381-4018-9e90-40ee31fccc7e,transaction,transaction-87f33463-6381-4018-9e90-40ee31fccc7e,['IND9914435'],"['470fbd', 'WebServices']",226,,2644629,KXP0001647,Completed,2021-10-31T00:00:00.0000000,,Partial Surrender,RSL - Keystone,Person,,,,2017-09-15T00:00:00.0000000,398588.49,67.0,14742.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.5,0.0,3/3,0.5,inconsistent,financial-transaction
567,8813e8bd-24fd-45ae-85bf-60167fdaff30,transaction,transaction-8813e8bd-24fd-45ae-85bf-60167fdaff30,['BDB0003924'],"['WebServices', '470vrd']",226,,2643655,ATMIE21090,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-10-27T00:00:00.0000000,0.0,61.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.5,0.0,0.0,3/3,0.1666666666666666,inconsistent,non-financial-transaction
568,8935c56f-fe71-4cb9-8be8-be038b4a8985,transaction,transaction-8935c56f-fe71-4cb9-8be8-be038b4a8985,['BDB9901817'],['470knx'],226,,2653532,ATMIE05766,Pending Requirement,1900-01-01T00:00:00.0000000,,Partial Surrender,RSL - Eleos,Person,,,,2018-12-07T00:00:00.0000000,,66.0,,,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,1.0,0.0,3/3,0.6666666666666666,inconsistent,financial-transaction
569,8941e63f-5692-440e-a4ef-4e8f1340de41,transaction,transaction-8941e63f-5692-440e-a4ef-4e8f1340de41,['BDB9905583'],"['470vrd', 'WebServices']",226,,2643736,ATMIP09589,Completed,2021-10-28T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-10-26T00:00:00.0000000,0.0,81.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.5,0.0,0.0,3/3,0.1666666666666666,inconsistent,non-financial-transaction
570,8a01a725-aa22-4539-af56-44f3ef12b4b5,transaction,transaction-8a01a725-aa22-4539-af56-44f3ef12b4b5,,"['WebServices', '303dwk']",226,,2645839,AXMG001424,Pending,1900-01-01T00:00:00.0000000,,Death Claim Disbursement,RSL - Argus MVA,,,,,2008-09-22T00:00:00.0000000,0.0,62.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,financial-transaction
571,8a23efb6-5d60-4ac3-ae2f-e00c694557f8,transaction,transaction-8a23efb6-5d60-4ac3-ae2f-e00c694557f8,['IND9911741'],"['WebServices', '470fnx']",226,,2643594,ATMGP01544,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-10-21T00:00:00.0000000,0.0,73.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.5,0.0,0.0,3/3,0.1666666666666666,inconsistent,non-financial-transaction
572,8a7630ee-b2ee-4acc-b956-471e41e28d6b,transaction,transaction-8a7630ee-b2ee-4acc-b956-471e41e28d6b,,"['470fbd', 'WebServices']",226,,2645800,ATMI020756,Completed,2021-11-01T00:00:00.0000000,,Partial Surrender,RSL - Eleos,,,,,2014-02-26T00:00:00.0000000,13307.3,61.0,15050.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.5,0.0,3/3,0.5,inconsistent,financial-transaction
573,8b44811e-80b1-4b08-a998-60c15b9ec0f2,transaction,transaction-8b44811e-80b1-4b08-a998-60c15b9ec0f2,,"['WebServices', '470tbf']",226,,2643750,AAMI502474,Pending,1900-01-01T00:00:00.0000000,,Partial Surrender,RSL - Apollo,,,,,2015-10-13T00:00:00.0000000,22017.2,77.0,2121.64,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.5,0.0,3/3,0.5,inconsistent,financial-transaction
574,8b876263-0763-40fc-9948-709d521c2240,transaction,transaction-8b876263-0763-40fc-9948-709d521c2240,,"['470fbd', 'WebServices']",226,,2654389,K700003333,Completed,2021-11-04T00:00:00.0000000,,Partial Surrender,RSL - Keystone,,,,,2015-09-15T00:00:00.0000000,67036.97,77.0,5350.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.5,0.0,3/3,0.5,inconsistent,financial-transaction
