,id,type,referenceDocumentId,agentIds,employeeIds,batchId,applicationSignedState,shortId,policyId,status,receivedDate,signDate,modelType,productType,ownerType,moneySourceType,paperworkReceivedDate,electronicReceivedDate,issueDate,policyValue,policyAge,policyWithdrawals,surrenderCharges,suitabilityScore,role,ops,ops.uc1a,ops.uc2a,ops.uc6a,ops.uc7a,ops.uc8a,ops.uc5,ops.eligibleHypothesis,ops.score,ops.predictedDisposition,template
28,ATMGE03586,application,application-ATMGE03586,['BDB0010585'],['WebServices'],226,PA,ATMGE03586,,Submitted,2021-10-25T00:00:00.0000000,2021-10-25T00:00:00.0000000,E-App,RSL - Eleos,Person,Direct Transfer,,2021-10-25T00:00:00.0000000,2021-11-02T00:00:00.0000000,110000.0,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,0.0,1.0,0.0,0.0,6/6,0.3333333333333333,inconsistent,application
29,ATMGE03587,application,application-ATMGE03587,['BDB0013042'],['WebServices'],226,PA,ATMGE03587,,Submitted,2021-10-27T00:00:00.0000000,2021-10-27T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-10-27T00:00:00.0000000,2021-11-02T00:00:00.0000000,25000.0,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,,,,0.0,0.0,3/6,0.0,consistent,application
30,ATMGE03588,application,application-ATMGE03588,['BDB9902071'],['WebServices'],226,PA,ATMGE03588,,Submitted,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,E-App,RSL - Eleos,Person,,,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,0.0,,,0.0,0.0,4/6,0.0,consistent,application
31,ATMGE03589,application,application-ATMGE03589,['BDB9902039'],['WebServices'],226,PA,ATMGE03589,,Submitted,2021-11-01T00:00:00.0000000,2021-11-01T00:00:00.0000000,E-App,RSL - Eleos,Person,,,2021-11-01T00:00:00.0000000,,,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,,,0.0,0.0,0.0,4/6,0.0,consistent,application
32,ATMGE03590,application,application-ATMGE03590,['BDB0014297'],['WebServices'],226,PA,ATMGE03590,,Submitted,2021-11-03T00:00:00.0000000,2021-11-03T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-11-03T00:00:00.0000000,2021-11-03T00:00:00.0000000,200000.0,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,,,,0.0,0.0,3/6,0.0,consistent,application
33,ATMGE03591,application,application-ATMGE03591,['BDB0000185'],['WebServices'],226,PA,ATMGE03591,,Submitted,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,E-App,RSL - Eleos,Person,,1900-01-01T00:00:00.0000000,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,0.0,,0.0,0.0,0.0,5/6,0.0,consistent,application
34,ATMGE03592,application,application-ATMGE03592,['BDB0016056'],['WebServices'],226,IN,ATMGE03592,,Submitted,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-10-28T00:00:00.0000000,2021-11-03T00:00:00.0000000,247084.45,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,,,,0.0,0.0,3/6,0.0,consistent,application
35,ATMGE03593,application,application-ATMGE03593,['BDB0009051'],['WebServices'],226,PA,ATMGE03593,,Submitted,2021-10-26T00:00:00.0000000,2021-10-26T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-10-26T00:00:00.0000000,2021-11-03T00:00:00.0000000,10000.0,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,,,0.0,0.0,0.0,4/6,0.0,consistent,application
36,ATMGE03594,application,application-ATMGE03594,['BDB9901147'],['WebServices'],226,PA,ATMGE03594,,Submitted,2021-11-02T00:00:00.0000000,2021-11-02T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-11-02T00:00:00.0000000,,50000.0,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,,,0.0,0.0,0.0,4/6,0.0,consistent,application
37,ATMGE03595,application,application-ATMGE03595,['BDB0000185'],['WebServices'],226,PA,ATMGE03595,,Submitted,2021-10-29T00:00:00.0000000,2021-10-29T00:00:00.0000000,E-App,RSL - Eleos,Person,,1900-01-01T00:00:00.0000000,2021-10-29T00:00:00.0000000,2021-10-29T00:00:00.0000000,,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,0.0,,0.0,0.0,0.0,5/6,0.0,consistent,application
