id,shortId,modelType,productType,ownerType,template,NBREPLACEMENTINFODATA_ACCTYPE_VALUE,NBREPLACEMENTINFODATA_EXCHANGETYPE_VALUE,NBPAYMENTSDATA_METHOD,NBANNUITYDATA_APPSTATUS_VALUE,NBANNUITYDATA_APPTYPE_VALUE,NBANNUITYDATA_ISREPLACEMENT_VALUE,NBANNUITYDATA_QUALIFIED_VALUE,NBAGENTDATA_ISPRIMARY_VALUE,NBANNUITYDATA_SYSTEMATICWITHDRAWAL_VALUE,NBANNUITYDATA_ROLLOVER_VALUE,NBANNUITYDATA_PURPOSEOFACCOUNT_VALUE,NBANNUITYDATA_PAYMENTMETHOD_VALUE,NBANNUITYDATA_OWNERRELATION_VALUE,NBANNUITYDATA_OWNERORGTYPE_VALUE,NBANNUITYDATA_OWNERANNUITANTFLAG_VALUE,NBANNUITYDATA_ISGROUP_VALUE,NBANNUITYDATA_EXPECTEDSURRPENALTY_VALUE,NBREPLACEMENTINFODATA_PARTIALORFULL_VALUE,NBREPLACEMENTINFODATA_PAYMENTSOURCETYPE_CODE,NBANNUITYDATA_CHECKFORMS_VALUE,NBANNUITYDATA_COMMOPTIONTYPE_VALUE,NBANNUITYDATA_ANNUITYPOLICYTYPE,NBANNUITYDATA_APPSIGNSTATE_VALUE,NBANNUITYDATA_ANNUITYPOLICYOPTION,NBANNUITYDATA_ANNUITANTMARSTAT_VALUE,NBANNUITYDATA_ADEQUATEASSETS_VALUE,NBANNUITYDATA_ACCOUNTTYPE_VALUE,NBPAYMENTSDATA_PREMIUMTYPE_CODE,NBREPLACEMENTINFODATA_PREVPLANTYPE_VALUE,NBREPLACEMENTINFODATA_REPLCO1035_VALUE,NBANNUITYDATA_ESIGNATUREIND_VALUE,CASEHDRDATA_ISGROUP_VALUE,CASEHDRDATA_STATUS_VALUE,CASEHDRDATA_UNDERWRITINGSTATUS_VALUE,FINANCIALGOALSDATA_ADEQUATEASSETS_VALUE,FINANCIALGOALSDATA_EXPECTEDSURRPENALTY_CODE,FINANCIALGOALSDATA_REVERSEMORTGAGE_CODE,CASEHDRDATA_ESIGNATUREIND_VALUE,agentIds,employeeIds,receivedDate,issueDate,NBANNUITYNBAGENTDATA_TIMESTAMP,NBANNUITYNBREPLACEMENTINFODATA_TIMESTAMP,NBREPLACEMENTINFODATA_TIMESTAMP,NBREPLACEMENTINFODATA_PAPERWORKRECEIVEDDATE,FORMMANAGERDATA_TIMESTAMP,NBANNUITYNBHDRDATA_TIMESTAMP,NBANNUITYFORMMANAGERDATA_TIMESTAMP,NBPAYMENTSDATA_EFFECTIVEDATE,NBPAYMENTSDATA_TIMESTAMP,NBANNUITYDATA_ANNUITYDATE,NBANNUITYDATA_APPDATEISSUED,NBANNUITYDATA_APPDATERECEIVED,NBANNUITYDATA_APPSIGNDATE,NBANNUITYDATA_CHECKENTRYDATE,NBANNUITYDATA_OWNERTRUSTDATE,NBANNUITYDATA_ROTHIRAINCEPTIONDATE,NBANNUITYDATA_TIMESTAMP,NBANNUITYNBPAYMENTSDATA_TIMESTAMP,NBAGENTDATA_TIMESTAMP,NBDECEDENTDATA_DECEDENTDATEOFDEATH,NBANNUITYNBFUNDALLOCHDRDATA_TIMESTAMP,DATE_LOADED,CASEHDRDATA_APPSIGNDATE,CASEHDRDATA_DATEISSUED,CASEHDRDATA_DATERECEIVED,CASEHDRDATA_RATELOCKEFFECTIVEDATE,CASEHDRDATA_TIMESTAMP,FINANCIALGOALSDATA_TIMESTAMP,CASEHDRDATA_EAPPDATARECEIVED,policyValue,policyAge,policyWithdrawals,surrenderCharges,suitabilityScore,NBREPLACEMENTINFODATA_ESTIMATEDVALUE,NBPAYMENTSDATA_AMOUNT,NBPAYMENTSDATA_COMMISSIONRETAINED,NBPAYMENTSDATA_NETCOMMISSIONS,NBANNUITYDATA_EXPECTEDPREM,NBANNUITYDATA_COMMISSIONSWITHHELD,NBAGENTDATA_PERCENTAGE,NBANNUITYDATA_ANNUITANTAGE,NBANNUITYDATA_CASHWITHAPP,NBANNUITYDATA_CHARGESINCURREPLACE,FINANCIALGOALSDATA_SUITABILITYSCORE,FINANCIALGOALSDATA_FORMATNETWORTH,FINANCIALGOALSDATA_EXPECTEDPREM,FINANCIALGOALSDATA_CHARGESINCURREPLACE,ops.uc1a,ops.uc2a,ops.uc6a,ops.uc7a,ops.uc8a,ops.uc5,ops.score,ops.predictedDisposition,ops.eligibleHypothesis,ops.actualDisposition
K7P0005323,K7P0005323,Mail,RSL - Keystone,Person,application,,,,New,Full Application,True,True,True,False,False,Premium Billing,,Self,,True,False,No,,Transfer,True,Option A,BaseCov_SPEIDA,TN,SPDA_7Yr,,True,,,,False,False,False,Issued,Last Requirement,True,No,No,False,['IND0010766'],,2020-10-19T00:00:00.0000000,2020-10-19T00:00:00.0000000,,,1900-01-01T00:00:00.0000000,1900-01-01T00:00:00.0000000,1900-01-01T00:00:00.0000000,,,,,1900-01-01T00:00:00.0000000,2020-10-19T00:00:00.0000000,2020-10-19T00:00:00.0000000,2020-10-19T00:00:00.0000000,1900-01-01T00:00:00.0000000,1900-01-01T00:00:00.0000000,1900-01-01T00:00:00.0000000,2020-10-20T10:00:57.4572570,,1900-01-01T00:00:00.0000000,,,2020-11-04T01:21:00.0000667,2020-10-19T00:00:00.0000000,2020-11-16T00:00:00.0000000,2020-10-19T00:00:00.0000000,2020-11-16T00:00:00.0000000,2020-11-03T13:16:02.8719944,2020-10-27T09:53:48.7055735,1900-01-01T00:00:00.0000000,,,,,65.0,100000.0,,,,100000.0,0.0,100.0,75.0,0.0,0.0,15.0,"$881,000.00",100000.0,0.0,,,,,,1.0,1.0,inconsistent,1/6,inconsistent
ATMIE15177,ATMIE15177,E-App Firelight,RSL - Eleos,Person,application,,,,New,,False,False,,False,False,Premium Billing,,,,True,False,No,,,True,Option A,BaseCov_SPDAMVA,MA,SPDA,,True,,,,,True,False,Issued,Last Requirement,True,No,No,True,,,2020-10-22T00:00:00.0000000,2020-10-22T00:00:00.0000000,,,,,1900-01-01T00:00:00.0000000,,,,,2020-10-22T00:00:00.0000000,2020-10-22T00:00:00.0000000,2020-10-22T00:00:00.0000000,2020-10-22T00:00:00.0000000,1900-01-01T00:00:00.0000000,1900-01-01T00:00:00.0000000,1900-01-01T00:00:00.0000000,2020-10-22T19:26:22.7151172,,,,,2020-10-31T02:44:58.0000684,2020-10-22T00:00:00.0000000,2020-10-29T00:00:00.0000000,2020-10-22T00:00:00.0000000,2020-10-29T00:00:00.0000000,2020-10-30T11:32:16.8600922,2020-10-22T19:26:20.9651079,2020-10-22T00:00:00.0000000,,,,,15.0,,,,,33000.0,0.0,,70.0,0.0,0.0,15.0,"$817,000.00",33000.0,0.0,,,,,,0.0,0.0,consistent,1/6,consistent
ATMGE02531,ATMGE02531,E-App,RSL - Eleos,Person,application,,,,New,,False,True,True,False,False,Premium Billing,,,,True,True,,,,True,Option A,BaseCov_SPDAMVA,PA,SPDA,,False,,,,,False,True,Issued,Last Requirement,False,Blank,Blank,False,['BDB0009460'],,2020-10-16T00:00:00.0000000,,,,,,1900-01-01T00:00:00.0000000,,,,,2020-10-19T00:00:00.0000000,2020-10-16T00:00:00.0000000,2020-10-16T00:00:00.0000000,2020-10-16T00:00:00.0000000,1900-01-01T00:00:00.0000000,1900-01-01T00:00:00.0000000,1900-01-01T00:00:00.0000000,2020-10-19T19:19:25.2455136,,1900-01-01T00:00:00.0000000,,,2021-05-13T00:31:48.0000548,2020-10-16T00:00:00.0000000,2021-05-12T00:00:00.0000000,2020-10-16T00:00:00.0000000,2021-05-12T00:00:00.0000000,2021-05-12T12:05:13.3563048,2020-10-19T19:19:13.0000000,2020-10-19T00:00:00.0000000,,,,,0.0,,,,,20000.0,0.0,100.0,75.0,0.0,0.0,0.0,$0.00,20000.0,0.0,,,,,,0.0,0.0,consistent,1/6,consistent
ATMIE14952,ATMIE14952,E-App,RSL - Eleos,Person,application,,,,New,,False,False,True,False,False,Premium Billing,,,,True,False,,,,True,Option A,BaseCov_SPDAMVA,FL,SPDA,,False,,,,,False,False,Issued,Last Requirement,False,Blank,Blank,False,['BDB0013916'],,2020-10-02T00:00:00.0000000,2020-10-02T00:00:00.0000000,,,,,1900-01-01T00:00:00.0000000,,,,,2020-10-02T00:00:00.0000000,2020-10-02T00:00:00.0000000,2020-10-02T00:00:00.0000000,2020-10-02T00:00:00.0000000,1900-01-01T00:00:00.0000000,1900-01-01T00:00:00.0000000,1900-01-01T00:00:00.0000000,2020-10-02T19:57:33.1321667,,1900-01-01T00:00:00.0000000,,,2020-10-09T00:06:47.0000793,2020-10-02T00:00:00.0000000,2020-10-06T00:00:00.0000000,2020-10-02T00:00:00.0000000,2020-10-06T00:00:00.0000000,2020-10-08T15:46:59.5707159,2020-10-02T19:57:24.0000000,2020-10-02T00:00:00.0000000,,,,,0.0,,,,,10000.0,0.0,100.0,39.0,0.0,0.0,0.0,$0.00,10000.0,0.0,,,,,,0.0,0.0,consistent,1/6,inconsistent
ATMIE14953,ATMIE14953,E-App,RSL - Eleos,Person,application,,,,New,,False,False,True,False,False,Premium Billing,,,,True,False,,,,True,Option A,BaseCov_SPDAMVA,AL,SPDA,,False,,,,,False,False,Issued,Last Requirement,False,Blank,Blank,False,['BDB0013819'],,2020-10-02T00:00:00.0000000,2020-10-02T00:00:00.0000000,,,,,1900-01-01T00:00:00.0000000,,,,,2020-10-02T00:00:00.0000000,2020-10-02T00:00:00.0000000,2020-10-02T00:00:00.0000000,2020-10-02T00:00:00.0000000,1900-01-01T00:00:00.0000000,1900-01-01T00:00:00.0000000,1900-01-01T00:00:00.0000000,2020-10-02T19:57:51.4291990,,1900-01-01T00:00:00.0000000,,,2020-10-08T00:06:37.0000741,2020-10-02T00:00:00.0000000,2020-10-06T00:00:00.0000000,2020-10-02T00:00:00.0000000,2020-10-06T00:00:00.0000000,2020-10-07T11:37:39.3829600,2020-10-02T19:57:42.0000000,2020-10-02T00:00:00.0000000,,,,,0.0,,,,,15765.06,0.0,100.0,61.0,0.0,0.0,0.0,$0.00,15765.06,0.0,,,,,,0.0,0.0,consistent,1/6,consistent
